priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Major,Short,Other,0.0,2.1972245773362196,6.410174881966167,54,1.791759469228055,9.251490731778658
Major,Short,Other,0.0,1.6094379124341003,7.592366128519796,51,0.0,8.399898280357656
Minor,Short,Other,0.0,1.3862943611198906,6.739336627357174,47,0.6931471805599453,9.74206899387883
Major,Short,Other,0.0,1.0986122886681098,4.852030263919617,50,0.6931471805599453,9.742432824102016
Major,Short,Other,0.0,1.0986122886681098,5.293304824724492,39,0.6931471805599453,9.742153468870438
Major,Short,Other,0.0,1.3862943611198906,4.007333185232471,41,0.6931471805599453,10.200797593863285
Minor,Short,Other,0.0,0.6931471805599453,4.941642422609304,29,0.0,9.546305526481559
Major,Short,Other,0.0,1.6094379124341003,6.142037405587356,40,1.0986122886681098,10.274624811220084
Minor,Short,Other,0.0,1.0986122886681098,5.407171771460119,59,0.0,9.984439563591087
Major,Short,thiru_mg,0.0,1.3862943611198906,4.718498871295094,49,0.0,10.092660833951545
Major,Short,Other,0.0,1.6094379124341003,6.81783057145415,85,0.6931471805599453,11.241511994260803
Major,Short,thiru_mg,0.0,1.3862943611198906,5.075173815233827,66,0.0,8.096148123588893
Major,Short,Other,0.0,2.302585092994046,8.795430805040018,115,0.0,10.397087071239998
Major,Short,Other,0.0,1.791759469228055,6.466144724237619,62,0.0,10.48560644750625
Major,Short,Other,0.0,1.6094379124341003,5.236441962829949,117,0.6931471805599453,10.657980977225584
Major,Short,Other,0.0,0.6931471805599453,5.733341276897746,29,0.0,7.299984331261191
Major,Short,Other,0.0,1.6094379124341003,4.962844630259907,67,0.6931471805599453,10.822142542681139
Minor,Short,thiru_mg,0.0,1.3862943611198906,5.811140992976701,42,0.0,8.874722841989168
Major,Short,Other,0.0,0.6931471805599453,8.277411998949004,72,0.6931471805599453,7.000258705354851
Major,Long,Other,0.0,2.6390573296152584,4.90527477843843,36,1.6094379124341003,11.222982378128556
Major,Short,Other,0.6931471805599453,1.6094379124341003,6.037870919922137,61,1.0986122886681098,11.186000062362737
Major,Short,Other,0.0,2.1972245773362196,6.5638555265321274,81,1.0986122886681098,11.302596805637814
Minor,Short,Other,0.0,1.3862943611198906,7.118826249062078,80,0.6931471805599453,11.268012145381089
Major,Short,dcreager,0.6931471805599453,1.3862943611198906,5.700443573390687,44,0.0,10.882535758236791
Minor,Short,Other,0.0,1.9459101490553132,6.872128101338986,82,1.0986122886681098,11.40424007693399
Minor,Short,Other,0.0,2.302585092994046,6.98933526597456,37,0.0,8.079078473488114
Trivial,Short,Other,0.0,0.6931471805599453,5.5134287461649825,59,0.6931471805599453,11.43063032575407
Trivial,Short,Other,0.0,1.0986122886681098,4.875197323201151,49,0.6931471805599453,5.547244837199759
Minor,Short,Other,0.0,1.0986122886681098,7.2640301428995295,43,0.0,7.284675291541136
Minor,Short,vnadkarni,0.0,1.0986122886681098,7.1731917424865985,79,0.0,7.0166840010130525
Major,Short,vnadkarni,0.0,1.0986122886681098,6.675823221634848,108,0.0,7.0748969662183425
Major,Short,scott_carey,0.0,1.6094379124341003,6.52649485957079,51,0.6931471805599453,7.26525216669918
Major,Short,Other,0.6931471805599453,2.4849066497880004,5.521460917862246,52,1.0986122886681098,7.494690118220806
Major,Long,Other,0.0,1.3862943611198906,6.862757913051401,54,1.3862943611198906,13.13135283078897
Major,Short,vnadkarni,0.0,2.0794415416798357,6.826545223556594,95,0.0,9.352750825685895
Major,Short,vnadkarni,0.0,1.3862943611198906,7.694392802629421,72,0.0,9.481962333472774
Minor,Short,dcreager,0.0,1.0986122886681098,6.068425588244111,48,0.0,9.909586209531327
Minor,Short,Other,0.0,1.0986122886681098,4.672828834461906,26,0.0,9.349527823275983
Major,Short,Other,0.0,2.8903717578961645,8.441391477999955,87,0.0,10.315542921536528
Minor,Short,Other,0.0,2.1972245773362196,5.153291594497779,49,0.6931471805599453,7.780196194049447
Major,Short,jbaldassari,0.0,1.6094379124341003,6.910750787961936,61,0.0,6.829738582838281
Minor,Short,jbaldassari,0.0,1.3862943611198906,4.948759890378168,51,0.0,7.186838297819295
Trivial,Short,scott_carey,0.0,1.3862943611198906,4.430816798843313,92,0.0,7.184717713364823
Trivial,Short,Other,0.0,1.9459101490553132,5.648974238161206,30,0.0,8.455997453835904
Major,Short,thiru_mg,0.0,1.3862943611198906,7.1308988302963465,61,0.0,8.91941118222944
Major,Short,lmartinking,0.0,1.0986122886681098,5.459585514144159,59,0.0,7.796530343193092
Blocker,Short,jbaldassari,0.0,1.9459101490553132,7.4977617006225685,46,0.0,9.486442062387924
Minor,Short,Other,0.0,1.9459101490553132,5.54907608489522,50,0.0,9.766659001683104
Minor,Short,Other,0.0,2.302585092994046,6.6039438246004725,21,0.0,9.67884183499329
Minor,Short,Other,0.0,1.3862943611198906,5.54907608489522,92,0.6931471805599453,9.868011714908548
Major,Short,jbaldassari,0.0,2.0794415416798357,7.046647277848756,78,1.3862943611198906,13.072886202942358
Major,Short,jbaldassari,0.0,3.044522437723423,6.542471960506805,76,0.0,9.955198585700352
Major,Long,Other,0.0,3.713572066704308,5.049856007249537,29,2.5649493574615367,11.024198934993736
