vote_count,comment_count,description_length,summary_length,watch_count,priority_Critical,priority_Major,priority_Minor,priority_Trivial,issue_type_Short,reporter_brucem,reporter_cutting,reporter_dcreager,reporter_hammer,reporter_jbaldassari,reporter_jmhodges,reporter_lmartinking,reporter_massie,reporter_mpugachev,reporter_philip,reporter_phunt,reporter_pwendell,reporter_sbanacho,reporter_scott_carey,reporter_sharadag,reporter_thiru_mg,reporter_tomwhite,reporter_vnadkarni,duration
0.0,1.3862943611198906,6.171700597410915,42,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.016157159698354
0.0,1.791759469228055,5.648974238161206,55,1.0986122886681098,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.226508953137767
0.0,2.5649493574615367,6.073044534100405,49,1.6094379124341005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.321664807135
0.0,1.6094379124341005,5.811140992976701,51,1.3862943611198906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.528331766707248
0.0,1.9459101490553128,6.659293919683638,53,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.899524472032198
0.0,1.791759469228055,5.583496308781699,65,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.181783550292085
0.0,1.791759469228055,7.001245622069477,37,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.859647499714997
0.0,0.6931471805599453,7.394493107219037,78,0.6931471805599453,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,3.0910424533583165,6.646390514847728,39,1.6094379124341005,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96954188542325
0.6931471805599453,2.19722457733622,6.0210233493495275,52,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.335633981927201
0.6931471805599453,1.9459101490553128,6.18826412308259,52,1.9459101490553128,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.389359819906353
0.0,2.19722457733622,7.194436851100335,93,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.641709066113805
0.0,1.3862943611198906,6.4457198193855785,34,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.433376705323127
0.0,2.079441541679836,5.840641657373397,35,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.993770117393836
0.0,0.6931471805599453,5.147494476813453,59,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.327967858305488
0.0,1.791759469228055,6.5624440936937205,71,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.206834232646894
0.0,0.6931471805599453,5.857933154483459,55,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.372629740224884
0.6931471805599453,2.3978952727983707,5.181783550292085,57,1.3862943611198906,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.876684166614451
0.6931471805599453,2.7080502011022096,5.45958551414416,36,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.443196602144186
0.0,2.079441541679836,5.497168225293202,47,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.526024482928523
0.0,1.3862943611198906,7.380879035564116,51,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.982529759876082
0.0,0.6931471805599453,5.9532433342877855,30,1.0986122886681098,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.965055424864854
0.0,1.6094379124341005,5.579729825986222,69,1.0986122886681098,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.647589220094883
0.0,1.6094379124341005,7.465655310134057,46,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.723585101952382
0.0,2.3978952727983707,6.464588303689961,10,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.317263316879199
0.0,1.3862943611198906,5.556828061699537,67,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.424950017481403
0.0,3.5263605246161616,7.166265974133638,62,2.079441541679836,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.570694248052524
0.0,2.302585092994046,4.343805421853683,29,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.59398121563051
0.0,1.0986122886681098,4.997212273764115,51,1.0986122886681098,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.289613552870689
0.0,2.302585092994046,6.368187186350492,52,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.571365838652174
0.0,1.6094379124341005,3.80666248977032,34,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.444622498581403
0.0,2.302585092994046,7.195187320178709,29,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.788525534066446
0.0,1.9459101490553128,7.055312843339753,44,1.0986122886681098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2596066132791
0.0,2.4849066497880004,5.652489180268652,44,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.247057954911345
0.0,2.3978952727983707,5.1647859739235145,47,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.779623565313742
0.0,1.3862943611198906,5.44673737166631,75,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.663132695990803
0.0,2.19722457733622,6.728628613084703,72,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.168371887153679
0.0,1.9459101490553128,5.634789603169249,70,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.844887546113556
0.0,1.791759469228055,7.8252452914317745,68,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1131421087070885
0.0,3.0445224377234235,7.377758908227872,39,1.6094379124341005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.614204198717374
0.0,2.302585092994046,7.463936604468925,24,1.0986122886681098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.092232283495854
0.0,2.19722457733622,6.8134445995108965,70,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.346376889290294
0.0,1.791759469228055,5.655991810819852,80,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.725315742755173
0.0,1.791759469228055,6.261491684321044,78,1.6094379124341005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.169896094211008
0.0,1.3862943611198906,4.574710978503383,27,1.3862943611198906,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.030784475064149
0.0,1.3862943611198906,7.2875606403097235,44,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.342813072082706
0.0,2.7080502011022096,5.899897353582492,112,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.399308738183262
0.0,1.3862943611198906,4.727387818712341,31,1.3862943611198906,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43356835555382
1.0986122886681098,2.079441541679836,7.683403681053826,47,1.791759469228055,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87776378265451
0.0,1.3862943611198906,6.030685260261262,62,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20303024171486
0.0,2.8903717578961645,4.890349128221754,50,1.3862943611198906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.345919666218006
0.0,1.3862943611198906,7.2392149737798075,52,1.0986122886681098,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.080459451121662
0.0,0.6931471805599453,6.523562306149513,69,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0910424533583165
0.0,1.0986122886681098,6.077642243349033,38,1.0986122886681098,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.00669522683704
0.0,2.19722457733622,5.805134968916487,67,1.6094379124341005,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.825800025054033
