priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Minor,Short,Other,0.0,2.3978952727983707,6.626717749249025,71,1.791759469228055,12.156020685631228
Major,Short,Other,0.0,1.9459101490553132,6.70808408385307,42,1.0986122886681098,9.54716968769421
Major,Short,cutting,0.0,2.0794415416798357,5.857933154483459,40,1.0986122886681098,10.854739940643181
Major,Short,Other,0.0,2.3978952727983707,5.501258210544727,54,1.791759469228055,13.041749673410083
Major,Short,Other,0.6931471805599453,2.8903717578961645,6.249975242259483,72,2.302585092994046,13.069877793574753
Major,Short,tomwhite,0.0,2.1972245773362196,5.272999558563747,84,1.6094379124341003,7.151485463904735
Major,Short,Other,0.0,1.9459101490553132,6.775366090936392,57,1.3862943611198906,8.380456667842767
Major,Short,vnadkarni,0.0,1.6094379124341003,7.317212408359839,56,1.0986122886681098,8.446556111816797
Trivial,Short,vnadkarni,0.0,1.3862943611198906,6.169610732491456,55,1.0986122886681098,8.45126704130007
Major,Short,mpugachev,0.0,1.6094379124341003,4.31748811353631,44,1.3862943611198906,11.614651383474907
Major,Short,Other,0.0,1.9459101490553132,6.028278520230698,80,1.0986122886681098,4.983606621708336
Major,Short,lmartinking,0.0,2.0794415416798357,7.195937226475569,43,1.3862943611198906,8.821879862683842
Major,Short,lmartinking,0.0,1.0986122886681098,5.54907608489522,52,1.0986122886681098,7.01211529430638
Major,Short,lmartinking,0.0,1.3862943611198906,5.231108616854587,52,1.0986122886681098,7.017506142941256
Minor,Short,Other,0.0,2.5649493574615367,5.755742213586912,74,1.3862943611198906,11.184782443924378
Major,Short,Other,0.0,1.9459101490553132,5.6131281063880705,47,1.3862943611198906,8.17188200612782
Major,Short,Other,0.0,2.302585092994046,7.261927092702751,84,1.0986122886681098,7.962763930168115
Major,Short,cutting,0.0,0.6931471805599453,5.25227342804663,38,0.6931471805599453,1.791759469228055
Minor,Short,Other,0.0,1.9459101490553132,4.897839799950911,73,1.0986122886681098,7.466799475018602
Minor,Short,Other,0.0,2.302585092994046,5.68697535633982,48,1.0986122886681098,9.574636203046277
Major,Short,Other,0.0,1.3862943611198906,5.929589143389895,55,1.0986122886681098,8.67846133901236
Major,Short,Other,0.0,1.3862943611198906,6.610696044717759,55,1.3862943611198906,12.334602174666099
Major,Short,Other,0.0,2.3978952727983707,6.186208623900494,75,1.0986122886681098,8.915163617762142
Major,Short,Other,0.0,2.5649493574615367,6.369900982828227,86,1.0986122886681098,9.556833658307777
Major,Short,Other,0.0,1.791759469228055,8.09712193091871,82,1.0986122886681098,5.488937726156687
Major,Short,Other,0.0,1.6094379124341003,5.181783550292085,53,1.3862943611198906,9.713113662551345
Major,Short,Other,0.0,1.6094379124341003,5.908082938168931,73,1.0986122886681098,10.463674605839843
Major,Short,Other,0.0,1.3862943611198906,5.293304824724492,43,1.0986122886681098,9.004299728561636
Major,Short,Other,0.0,1.3862943611198906,5.886104031450156,42,1.0986122886681098,8.76748487464946
Minor,Short,Other,0.0,1.9459101490553132,5.236441962829949,46,1.0986122886681098,6.111467339502679
Major,Short,mpugachev,0.0,1.3862943611198906,5.655991810819852,61,1.0986122886681098,10.716083048071518
Minor,Short,Other,0.0,1.3862943611198906,6.408528791059498,35,1.0986122886681098,7.124478262493424
Major,Short,thiru_mg,0.0,1.3862943611198906,5.973809611869261,30,0.6931471805599453,9.99337395933065
